"id","volume","pubid","name","floruit","sex","notbefore","notafter","status","placecode","region","settlement","district","lat","long"
"V1-2802","1","1","῾Εορτυλίς","byz.","2","311","999","Jew","LGPN_13550","Syros","","","37.4446","24.9429"
"V1-4827","1","2","Εὐνόμιος","byz.","1","311","999","Jew","LGPN_12790","Naxos","","","37.1068","25.3756"
"V1-36711","1","5","Πάρις","18BC","1","-18","-18","Jew","LGPN_12880","Rhodes","","","36.4432","28.227"
"V1-36712","1","5","Ἀκέσων","18BC","1","-18","-18","Jew","LGPN_12880","Rhodes","","","36.4432","28.227"
"V1-53783","1","1","Σοφία","byz.","2","311","999","Jew","LGPN_10320","Crete","Gortyn","","35.0625","24.947"
"V1-54653","1","5","Ἀρχίας","v-vi AD","1","500","600","Jew","LGPN_11050","Cyprus","Salamis","","35.1058","33.9504"
"V1-54681","1","1","Ἰωσῆς","v/vi AD","1","575","625","Jew","LGPN_10900","Cyprus","Golgoi","","35.0695","33.4998"
"V1-54682","1","2","Συνέσιος","v/vi AD","1","575","625","Jew","LGPN_10900","Cyprus","Golgoi","","35.0695","33.4998"
"V1-54683","1","4","Ἀττικός","iii AD","1","200","300","Jew","LGPN_10970","Cyprus","Lapethos","","35.3367","33.1742"
"V1-55508","1","1","Ἀνανίας","hell.-imp.","1","-100","100","Jew","LGPN_10860","Cyprus","Amathous","","34.712","33.1432"
"V1-56350","1","1","Ἀρτεμίων","115AD","1","115","115","Jew","LGPN_11050","Cyprus","Salamis","","35.1058","33.9504"
"V1-60012","1","2","Ἀμφίων","i AD","1","0","100","Jew","LGPN_11240","Cyrenaica","Taucheira-Arsinoe","","32.5319","20.5724"
"V1-60013","1","2","Ἰωσῆς","i AD","1","0","100","Jew","LGPN_11240","Cyrenaica","Taucheira-Arsinoe","","32.5319","20.5724"
"V1-60088","1","49","Φίλιππος","i AD","1","0","100","Jew","LGPN_11240","Cyrenaica","Taucheira-Arsinoe","","32.5319","20.5724"
"V1-60089","1","3","Ἰησοῦς","i AD","1","0","100","Jew","LGPN_11240","Cyrenaica","Taucheira-Arsinoe","","32.5319","20.5724"
"V1-60140","1","2","Ἰούδας","i AD","1","0","100","Jew","LGPN_11240","Cyrenaica","Taucheira-Arsinoe","","32.5319","20.5724"
"V1-60147","1","4","Ἰησοῦς","i AD","1","0","100","Jew","LGPN_11240","Cyrenaica","Taucheira-Arsinoe","","32.5319","20.5724"
"V1-60148","1","36","Ἀπολλόδωρος","i AD","1","0","100","Jew","LGPN_11240","Cyrenaica","Taucheira-Arsinoe","","32.5319","20.5724"
"V1-60150","1","3","Μάριν","i AD","2","0","100","Jew","LGPN_11240","Cyrenaica","Taucheira-Arsinoe","","32.5319","20.5724"
"V1-60152","1","26","Ἀριστοκράτης","i AD","1","0","100","Jew","LGPN_11240","Cyrenaica","Taucheira-Arsinoe","","32.5319","20.5724"
"V1-60153","1","1","Δωσᾶς","i AD","1","0","100","Jew","LGPN_11240","Cyrenaica","Taucheira-Arsinoe","","32.5319","20.5724"
"V1-60157","1","3","Ἰούδας","i AD","1","0","100","Jew","LGPN_11240","Cyrenaica","Taucheira-Arsinoe","","32.5319","20.5724"
"V1-60158","1","3","Μυρτώ","i AD","2","0","100","Jew","LGPN_11240","Cyrenaica","Taucheira-Arsinoe","","32.5319","20.5724"
"V1-60159","1","1","Νάσων","i AD","1","0","100","Jew","LGPN_11240","Cyrenaica","Taucheira-Arsinoe","","32.5319","20.5724"
"V1-60160","1","3","Σέκονδα","i AD","2","0","100","Jew","LGPN_11240","Cyrenaica","Taucheira-Arsinoe","","32.5319","20.5724"
"V1-60161","1","1","Ἰσιδίκα","i AD","2","0","100","Jew","LGPN_11240","Cyrenaica","Taucheira-Arsinoe","","32.5319","20.5724"
"V1-60162","1","4","Ἰούδας","i AD","1","0","100","Jew","LGPN_11240","Cyrenaica","Taucheira-Arsinoe","","32.5319","20.5724"
"V1-60165","1","1","Ἰσακᾶς","i AD","1","0","100","Jew","LGPN_11240","Cyrenaica","Taucheira-Arsinoe","","32.5319","20.5724"
"V1-60169","1","5","Ἰησοῦς","i AD","1","0","100","Jew","LGPN_11240","Cyrenaica","Taucheira-Arsinoe","","32.5319","20.5724"
"V1-60170","1","22","Λούκιος","i AD","1","0","100","Jew","LGPN_11240","Cyrenaica","Taucheira-Arsinoe","","32.5319","20.5724"
"V1-60231","1","11","Δωσίθεος","i AD","1","0","100","Jew","LGPN_11240","Cyrenaica","Taucheira-Arsinoe","","32.5319","20.5724"
"V1-60274","1","8","Δωσίθεος","i BC-i AD","1","-100","100","Jew","LGPN_11240","Cyrenaica","Taucheira-Arsinoe","","32.5319","20.5724"
"V1-60275","1","135","Θεόδοτος","i BC-i AD","1","-100","100","Jew","LGPN_11240","Cyrenaica","Taucheira-Arsinoe","","32.5319","20.5724"
"V1-60507","1","15","Εἰρήνα","i AD","2","0","100","Jew","LGPN_11240","Cyrenaica","Taucheira-Arsinoe","","32.5319","20.5724"
"V1-60508","1","1","Μάκερ","i AD","1","0","100","Jew","LGPN_11240","Cyrenaica","Taucheira-Arsinoe","","32.5319","20.5724"
"V1-60509","1","33","Μᾶρκος","i AD","1","0","100","Jew","LGPN_11240","Cyrenaica","Taucheira-Arsinoe","","32.5319","20.5724"
"V1-60510","1","34","Μᾶρκος","i AD","1","0","100","Jew","LGPN_11240","Cyrenaica","Taucheira-Arsinoe","","32.5319","20.5724"
"V1-60511","1","2","Μάκερ","i AD","1","0","100","Jew","LGPN_11240","Cyrenaica","Taucheira-Arsinoe","","32.5319","20.5724"
"V1-60512","1","14","Εὐφρόσυνος","i AD","1","0","100","Jew","LGPN_11240","Cyrenaica","Taucheira-Arsinoe","","32.5319","20.5724"
"V1-60513","1","27","Λύκος","i AD","1","0","100","Jew","LGPN_11240","Cyrenaica","Taucheira-Arsinoe","","32.5319","20.5724"
"V1-60514","1","16","Εἰρήνα","i AD","2","0","100","Jew","LGPN_11240","Cyrenaica","Taucheira-Arsinoe","","32.5319","20.5724"
"V1-60515","1","23","Σίμων","i AD","1","0","100","Jew","LGPN_11240","Cyrenaica","Taucheira-Arsinoe","","32.5319","20.5724"
"V1-60516","1","15","Εὐφρόσυνος","i AD","1","0","100","Jew","LGPN_11240","Cyrenaica","Taucheira-Arsinoe","","32.5319","20.5724"
"V1-60517","1","10","Μουσαῖος","i AD","1","0","100","Jew","LGPN_11240","Cyrenaica","Taucheira-Arsinoe","","32.5319","20.5724"
"V1-60518","1","24","Σίμων","i AD","1","0","100","Jew","LGPN_11240","Cyrenaica","Taucheira-Arsinoe","","32.5319","20.5724"
"V1-60519","1","4","Ἀρσινόα","i AD","2","0","100","Jew","LGPN_11240","Cyrenaica","Taucheira-Arsinoe","","32.5319","20.5724"
"V1-60520","1","11","Μουσαῖος","i AD","1","0","100","Jew","LGPN_11240","Cyrenaica","Taucheira-Arsinoe","","32.5319","20.5724"
"V1-60521","1","2","Σίλιος","i AD","1","0","100","Jew","LGPN_11240","Cyrenaica","Taucheira-Arsinoe","","32.5319","20.5724"
"V1-60522","1","16","Εὐφρόσυνος","i AD","1","0","100","Jew","LGPN_11240","Cyrenaica","Taucheira-Arsinoe","","32.5319","20.5724"
"V1-60523","1","28","Λύκος","i AD","1","0","100","Jew","LGPN_11240","Cyrenaica","Taucheira-Arsinoe","","32.5319","20.5724"
"V1-60539","1","12","Δωσίθεος","i AD","1","0","100","Jew","LGPN_11240","Cyrenaica","Taucheira-Arsinoe","","32.5319","20.5724"
"V1-60540","1","13","Δωσίθεος","i AD","1","0","100","Jew","LGPN_11240","Cyrenaica","Taucheira-Arsinoe","","32.5319","20.5724"
"V1-60547","1","14","Δωσίθεος","i AD","1","0","100","Jew","LGPN_11240","Cyrenaica","Taucheira-Arsinoe","","32.5319","20.5724"
"V1-60552","1","19","Ἀριστίων","i AD","1","0","100","Jew","LGPN_11240","Cyrenaica","Taucheira-Arsinoe","","32.5319","20.5724"
"V1-60553","1","6","Ἰούδας","i AD","1","0","100","Jew","LGPN_11240","Cyrenaica","Taucheira-Arsinoe","","32.5319","20.5724"
"V1-60557","1","5","Σάρρα","i AD","2","0","100","Jew","LGPN_11240","Cyrenaica","Taucheira-Arsinoe","","32.5319","20.5724"
"V1-60558","1","2","Τελεσίστρατος","i AD","1","0","100","Jew","LGPN_11240","Cyrenaica","Taucheira-Arsinoe","","32.5319","20.5724"
"V1-60590","1","19","Σωγένης","i AD","1","0","100","Jew","LGPN_11240","Cyrenaica","Taucheira-Arsinoe","","32.5319","20.5724"
"V1-60591","1","15","Δωσίθεος","i AD","1","0","100","Jew","LGPN_11240","Cyrenaica","Taucheira-Arsinoe","","32.5319","20.5724"
"V1-60598","1","10","Δωσίθεος","i AD","1","0","100","Jew","LGPN_11240","Cyrenaica","Taucheira-Arsinoe","","32.5319","20.5724"
"V1-60599","1","43","῎Αριστις","i AD","1","0","100","Jew","LGPN_11240","Cyrenaica","Taucheira-Arsinoe","","32.5319","20.5724"
"V1-60607","1","16","Δωσίθεος","i AD","1","0","100","Jew","LGPN_11240","Cyrenaica","Taucheira-Arsinoe","","32.5319","20.5724"
"V1-60611","1","10","Ἀριστῆς","i AD","1","0","100","Jew","LGPN_11240","Cyrenaica","Taucheira-Arsinoe","","32.5319","20.5724"
"V1-60612","1","17","Δωσίθεος","i AD","1","0","100","Jew","LGPN_11240","Cyrenaica","Taucheira-Arsinoe","","32.5319","20.5724"
"V1-60616","1","5","Μυρτώ","i AD","2","0","100","Jew","LGPN_11240","Cyrenaica","Taucheira-Arsinoe","","32.5319","20.5724"
"V1-60617","1","18","Δωσίθεος","i AD","1","0","100","Jew","LGPN_11240","Cyrenaica","Taucheira-Arsinoe","","32.5319","20.5724"
"V1-60642","1","1","Φιλοῦς","i AD","2","0","100","Jew","LGPN_11240","Cyrenaica","Taucheira-Arsinoe","","32.5319","20.5724"
"V1-60643","1","2","Θευγείτων","i AD","1","0","100","Jew","LGPN_11240","Cyrenaica","Taucheira-Arsinoe","","32.5319","20.5724"
"V1-60644","1","7","Ἰούδας","i AD","1","0","100","Jew","LGPN_11240","Cyrenaica","Taucheira-Arsinoe","","32.5319","20.5724"
"V1-60645","1","5","Ἰώσηπος","i AD","1","0","100","Jew","LGPN_11240","Cyrenaica","Taucheira-Arsinoe","","32.5319","20.5724"
"V1-60663","1","6","Μαρία","i AD","2","0","100","Jew","LGPN_11240","Cyrenaica","Taucheira-Arsinoe","","32.5319","20.5724"
"V1-60664","1","8","Ἰούλιος","i AD","1","0","100","Jew","LGPN_11240","Cyrenaica","Taucheira-Arsinoe","","32.5319","20.5724"
"V1-60680","1","7","Μαρία","i AD","2","0","100","Jew","LGPN_11240","Cyrenaica","Taucheira-Arsinoe","","32.5319","20.5724"
"V1-60681","1","704","Ἀπολλώνιος","i AD","1","0","100","Jew","LGPN_11240","Cyrenaica","Taucheira-Arsinoe","","32.5319","20.5724"
"V1-60685","1","4","Δωσιθέα","74AD","2","74","74","Jew","LGPN_11240","Cyrenaica","Taucheira-Arsinoe","","32.5319","20.5724"
"V1-60686","1","12","Πολύαρχος","74AD","1","74","74","Jew","LGPN_11240","Cyrenaica","Taucheira-Arsinoe","","32.5319","20.5724"
"V1-60696","1","4","Μάριν","i AD","2","0","100","Jew","LGPN_11240","Cyrenaica","Taucheira-Arsinoe","","32.5319","20.5724"
"V1-60697","1","1","Βάσσιος","i AD","1","0","100","Jew","LGPN_11240","Cyrenaica","Taucheira-Arsinoe","","32.5319","20.5724"
"V1-60714","1","6","Τρύφαινα","i AD","2","0","100","Jew","LGPN_11240","Cyrenaica","Taucheira-Arsinoe","","32.5319","20.5724"
"V1-60715","1","12","Ἰωάννης","i AD","1","0","100","Jew","LGPN_11240","Cyrenaica","Taucheira-Arsinoe","","32.5319","20.5724"
"V1-60716","1","1","Ἰουδίων","i AD","1","0","100","Jew","LGPN_11240","Cyrenaica","Taucheira-Arsinoe","","32.5319","20.5724"
"V1-60717","1","3","Μάρθα","i AD","2","0","100","Jew","LGPN_11240","Cyrenaica","Taucheira-Arsinoe","","32.5319","20.5724"
"V1-60718","1","13","Ἰωάννης","i AD","1","0","100","Jew","LGPN_11240","Cyrenaica","Taucheira-Arsinoe","","32.5319","20.5724"
"V1-60721","1","1","Φιλοξήνα","i AD","2","0","100","Jew","LGPN_11240","Cyrenaica","Taucheira-Arsinoe","","32.5319","20.5724"
"V1-60722","1","14","Ἰωάννης","i AD","1","0","100","Jew","LGPN_11240","Cyrenaica","Taucheira-Arsinoe","","32.5319","20.5724"
"V1-60723","1","15","Ἰωάννης","i AD","1","0","100","Jew","LGPN_11240","Cyrenaica","Taucheira-Arsinoe","","32.5319","20.5724"
"V1-60724","1","19","Ἰωάννης","i AD","1","0","100","Jew","LGPN_11240","Cyrenaica","Taucheira-Arsinoe","","32.5319","20.5724"
"V1-60725","1","8","Ἰούδας","i AD","1","0","100","Jew","LGPN_11240","Cyrenaica","Taucheira-Arsinoe","","32.5319","20.5724"
"V1-60726","1","21","Ἀρίμμας","i AD","1","0","100","Jew","LGPN_11240","Cyrenaica","Taucheira-Arsinoe","","32.5319","20.5724"
"V1-60730","1","29","Ἀριστοκράτης","i AD","1","0","100","Jew","LGPN_11240","Cyrenaica","Taucheira-Arsinoe","","32.5319","20.5724"
"V1-60731","1","30","Ἀριστοκράτης","i AD","1","0","100","Jew","LGPN_11240","Cyrenaica","Taucheira-Arsinoe","","32.5319","20.5724"
"V1-60732","1","1","Τουβίας","i AD","1","0","100","Jew","LGPN_11240","Cyrenaica","Taucheira-Arsinoe","","32.5319","20.5724"
"V1-60742","1","19","Δωσίθεος","i AD","1","0","100","Jew","LGPN_11240","Cyrenaica","Taucheira-Arsinoe","","32.5319","20.5724"
"V1-60743","1","20","Δωσίθεος","i AD","1","0","100","Jew","LGPN_11240","Cyrenaica","Taucheira-Arsinoe","","32.5319","20.5724"
"V1-60744","1","6","Ἰωσῆς","i AD","1","0","100","Jew","LGPN_11240","Cyrenaica","Taucheira-Arsinoe","","32.5319","20.5724"
"V1-60745","1","20","Σωγένης","i AD","1","0","100","Jew","LGPN_11240","Cyrenaica","Taucheira-Arsinoe","","32.5319","20.5724"
"V1-60750","1","21","Δωσίθεος","i AD","1","0","100","Jew","LGPN_11240","Cyrenaica","Taucheira-Arsinoe","","32.5319","20.5724"
"V1-60751","1","2","Εὐκλείδης","i AD","1","0","100","Jew","LGPN_11240","Cyrenaica","Taucheira-Arsinoe","","32.5319","20.5724"
"V1-60758","1","1","῾Υάκινθος","i-ii AD","1","100","200","Jew","LGPN_11240","Cyrenaica","Taucheira-Arsinoe","","32.5319","20.5724"
"V1-60774","1","1","῎Αδωνις","i-ii AD","1","100","200","Jew","LGPN_11240","Cyrenaica","Taucheira-Arsinoe","","32.5319","20.5724"
"V1-60787","1","22","Δωσίθεος","70AD","1","70","70","Jew","LGPN_11240","Cyrenaica","Taucheira-Arsinoe","","32.5319","20.5724"
"V1-60788","1","23","Δωσίθεος","80AD","1","80","80","Jew","LGPN_11240","Cyrenaica","Taucheira-Arsinoe","","32.5319","20.5724"
"V1-60789","1","9","Δωσίθεος","imp.","1","-31","310","Jew","LGPN_11240","Cyrenaica","Taucheira-Arsinoe","","32.5319","20.5724"
"V1-60794","1","59","Εὐφράνωρ","i AD","1","0","100","Jew","LGPN_11240","Cyrenaica","Taucheira-Arsinoe","","32.5319","20.5724"
"V1-60802","1","5","Ἰούδας","i AD","1","0","100","Jew","LGPN_11240","Cyrenaica","Taucheira-Arsinoe","","32.5319","20.5724"
"V1-60807","1","4","Ἰώσηπος","i AD","1","0","100","Jew","LGPN_11240","Cyrenaica","Taucheira-Arsinoe","","32.5319","20.5724"
"V1-60808","1","2","Ἰώσηπος","imp.","1","-31","310","Jew","LGPN_11240","Cyrenaica","Taucheira-Arsinoe","","32.5319","20.5724"
"V1-60809","1","1","Καλλώ","imp.","2","-31","310","Jew","LGPN_11240","Cyrenaica","Taucheira-Arsinoe","","32.5319","20.5724"
"V1-60810","1","2","Κλεόδαμος","i AD","1","0","100","Jew","LGPN_11240","Cyrenaica","Taucheira-Arsinoe","","32.5319","20.5724"
"V1-61226","1","1","Δόρκα","i AD","2","0","100","Jew","LGPN_11150","Cyrenaica","Barka-Ptolemais","","32.7078","20.9517"
"V1-61231","1","2","Δωσιθέα","i AD","2","0","100","Jew","LGPN_11150","Cyrenaica","Barka-Ptolemais","","32.7078","20.9517"
"V1-61233","1","8","Εἰρήνα","i AD","2","0","100","Jew","LGPN_11150","Cyrenaica","Barka-Ptolemais","","32.7078","20.9517"
"V1-61274","1","18","Εὐφράνωρ","i AD","1","0","100","Jew","LGPN_11150","Cyrenaica","Barka-Ptolemais","","32.7078","20.9517"
"V1-61309","1","131","Θεόδοτος","i AD","1","0","100","Jew","LGPN_11150","Cyrenaica","Barka-Ptolemais","","32.7078","20.9517"
"V1-61310","1","132","Θεόδοτος","i AD","1","0","100","Jew","LGPN_11150","Cyrenaica","Barka-Ptolemais","","32.7078","20.9517"
"V1-61350","1","10","Ἰωάννης","i AD","1","0","100","Jew","LGPN_11150","Cyrenaica","Barka-Ptolemais","","32.7078","20.9517"
"V1-61351","1","1","Ἰούδιον","i AD","2","0","100","Jew","LGPN_11150","Cyrenaica","Barka-Ptolemais","","32.7078","20.9517"
"V1-61367","1","8","Ἰωάννης","i AD","1","0","100","Jew","LGPN_11150","Cyrenaica","Barka-Ptolemais","","32.7078","20.9517"
"V1-61368","1","9","Ἰωάννης","i AD","1","0","100","Jew","LGPN_11150","Cyrenaica","Barka-Ptolemais","","32.7078","20.9517"
"V1-61369","1","3","Ἰώσηπος","i AD","1","0","100","Jew","LGPN_11150","Cyrenaica","Barka-Ptolemais","","32.7078","20.9517"
"V1-61370","1","4","Ἰωσῆς","i AD","1","0","100","Jew","LGPN_11150","Cyrenaica","Barka-Ptolemais","","32.7078","20.9517"
"V1-61371","1","5","Ἰωσῆς","i AD","1","0","100","Jew","LGPN_11150","Cyrenaica","Barka-Ptolemais","","32.7078","20.9517"
"V1-61462","1","17","Μᾶρκος","i AD","1","0","100","Jew","LGPN_11150","Cyrenaica","Barka-Ptolemais","","32.7078","20.9517"
"V1-61497","1","10","Νικαγόρας","i AD","1","0","100","Jew","LGPN_11150","Cyrenaica","Barka-Ptolemais","","32.7078","20.9517"
"V1-61505","1","23","Νίκανδρος","i AD","1","0","100","Jew","LGPN_11150","Cyrenaica","Barka-Ptolemais","","32.7078","20.9517"
"V1-61570","1","1","Πραξαγόρα","i AD","2","0","100","Jew","LGPN_11150","Cyrenaica","Barka-Ptolemais","","32.7078","20.9517"
"V1-61597","1","1","Σάρρα","i AD","2","0","100","Jew","LGPN_11150","Cyrenaica","Barka-Ptolemais","","32.7078","20.9517"
"V1-61642","1","3","Τερτία","i AD","2","0","100","Jew","LGPN_11150","Cyrenaica","Barka-Ptolemais","","32.7078","20.9517"
"V1-61679","1","3","Φιλήμων","i AD","1","0","100","Jew","LGPN_11150","Cyrenaica","Barka-Ptolemais","","32.7078","20.9517"
"V1-61818","1","3","Ἰωναθᾶς","55AD","1","55","55","Jew","LGPN_11190","Cyrenaica","Euesperides-Berenike","","32.1099","20.0912"
"V1-61819","1","11","Πρᾶτις","55AD","1","55","55","Jew","LGPN_11190","Cyrenaica","Euesperides-Berenike","","32.1099","20.0912"
"V1-61820","1","1","Κορνήλιος","55AD","1","55","55","Jew","LGPN_11190","Cyrenaica","Euesperides-Berenike","","32.1099","20.0912"
"V1-61821","1","45","Καρνήδας","55AD","1","55","55","Jew","LGPN_11190","Cyrenaica","Euesperides-Berenike","","32.1099","20.0912"
"V1-61822","1","32","῾Ηρακλείδης","55AD","1","55","55","Jew","LGPN_11190","Cyrenaica","Euesperides-Berenike","","32.1099","20.0912"
"V1-61823","1","33","῾Ηρακλείδης","55AD","1","55","55","Jew","LGPN_11190","Cyrenaica","Euesperides-Berenike","","32.1099","20.0912"
"V1-61824","1","5","Δωσίθεος","55AD","1","55","55","Jew","LGPN_11190","Cyrenaica","Euesperides-Berenike","","32.1099","20.0912"
"V1-61825","1","20","Θαλίαρχος","55AD","1","55","55","Jew","LGPN_11190","Cyrenaica","Euesperides-Berenike","","32.1099","20.0912"
"V1-61826","1","107","Ἰάσων","55AD","1","55","55","Jew","LGPN_11190","Cyrenaica","Euesperides-Berenike","","32.1099","20.0912"
"V1-61827","1","17","Σωσίβιος","55AD","1","55","55","Jew","LGPN_11190","Cyrenaica","Euesperides-Berenike","","32.1099","20.0912"
"V1-61828","1","16","Σωκράτης","55AD","1","55","55","Jew","LGPN_11190","Cyrenaica","Euesperides-Berenike","","32.1099","20.0912"
"V1-61829","1","18","Πρατομήδης","55AD","1","55","55","Jew","LGPN_11190","Cyrenaica","Euesperides-Berenike","","32.1099","20.0912"
"V1-61830","1","24","Στράτων","55AD","1","55","55","Jew","LGPN_11190","Cyrenaica","Euesperides-Berenike","","32.1099","20.0912"
"V1-61831","1","6","Ἀντίγονος","55AD","1","55","55","Jew","LGPN_11190","Cyrenaica","Euesperides-Berenike","","32.1099","20.0912"
"V1-61832","1","7","Ἀρχίας","55AD","1","55","55","Jew","LGPN_11190","Cyrenaica","Euesperides-Berenike","","32.1099","20.0912"
"V1-61833","1","16","Καρτισθένης","55AD","1","55","55","Jew","LGPN_11190","Cyrenaica","Euesperides-Berenike","","32.1099","20.0912"
"V1-61834","1","30","Λυσανίας","55AD","1","55","55","Jew","LGPN_11190","Cyrenaica","Euesperides-Berenike","","32.1099","20.0912"
"V1-61835","1","31","Λυσανίας","55AD","1","55","55","Jew","LGPN_11190","Cyrenaica","Euesperides-Berenike","","32.1099","20.0912"
"V1-61836","1","5","Θεύφιλος","55AD","1","55","55","Jew","LGPN_11190","Cyrenaica","Euesperides-Berenike","","32.1099","20.0912"
"V1-61837","1","6","Ζηνόδωρος","55AD","1","55","55","Jew","LGPN_11190","Cyrenaica","Euesperides-Berenike","","32.1099","20.0912"
"V1-61838","1","6","Μαρίων","55AD","1","55","55","Jew","LGPN_11190","Cyrenaica","Euesperides-Berenike","","32.1099","20.0912"
"V1-61839","1","38","Ζωΐλος","55AD","1","55","55","Jew","LGPN_11190","Cyrenaica","Euesperides-Berenike","","32.1099","20.0912"
"V1-61840","1","6","Ζηνίων","55AD","1","55","55","Jew","LGPN_11190","Cyrenaica","Euesperides-Berenike","","32.1099","20.0912"
"V1-61841","1","27","Ἰσίδωρος","55AD","1","55","55","Jew","LGPN_11190","Cyrenaica","Euesperides-Berenike","","32.1099","20.0912"
"V1-61842","1","3","Δωσίθεος","55AD","1","55","55","Jew","LGPN_11190","Cyrenaica","Euesperides-Berenike","","32.1099","20.0912"
"V1-61843","1","4","Δωσίθεος","55AD","1","55","55","Jew","LGPN_11190","Cyrenaica","Euesperides-Berenike","","32.1099","20.0912"
"V1-61844","1","55","Ἀμμώνιος","55AD","1","55","55","Jew","LGPN_11190","Cyrenaica","Euesperides-Berenike","","32.1099","20.0912"
"V1-61845","1","87","Ἀλέξανδρος","55AD","1","55","55","Jew","LGPN_11190","Cyrenaica","Euesperides-Berenike","","32.1099","20.0912"
"V1-61846","1","52","Εὐφράνωρ","55AD","1","55","55","Jew","LGPN_11190","Cyrenaica","Euesperides-Berenike","","32.1099","20.0912"
"V1-61847","1","4","Ἰσιδώρα","55AD","2","55","55","Jew","LGPN_11190","Cyrenaica","Euesperides-Berenike","","32.1099","20.0912"
"V1-61848","1","24","Σεραπίων","55AD","1","55","55","Jew","LGPN_11190","Cyrenaica","Euesperides-Berenike","","32.1099","20.0912"
"V1-61849","1","17","Ζωσίμη","55AD","2","55","55","Jew","LGPN_11190","Cyrenaica","Euesperides-Berenike","","32.1099","20.0912"
"V1-61850","1","1","Τερπώλιος","55AD","1","55","55","Jew","LGPN_11190","Cyrenaica","Euesperides-Berenike","","32.1099","20.0912"
"V1-61851","1","5","Πόλων","55AD","1","55","55","Jew","LGPN_11190","Cyrenaica","Euesperides-Berenike","","32.1099","20.0912"
"V1-61852","1","6","Δωσίθεος","55AD","1","55","55","Jew","LGPN_11190","Cyrenaica","Euesperides-Berenike","","32.1099","20.0912"
"V1-61853","1","51","Εὐφράνωρ","24AD","1","24","24","Jew","LGPN_11190","Cyrenaica","Euesperides-Berenike","","32.1099","20.0912"
